District code,State name,District name,Population,Male,Female
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017
5,JAMMU AND KASHMIR,Punch,476835,251899,224936
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863
16,JAMMU AND KASHMIR,Doda,409936,213641,196295
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137
22,JAMMU AND KASHMIR,Samba,318898,169124,149774
23,HIMACHAL PRADESH,Chamba,519080,261320,257760
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976
26,HIMACHAL PRADESH,Kullu,437903,225452,212451
27,HIMACHAL PRADESH,Mandi,999777,498065,501712
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698
29,HIMACHAL PRADESH,Una,521173,263692,257481
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192
31,HIMACHAL PRADESH,Solan,580320,308754,271566
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566
33,HIMACHAL PRADESH,Shimla,814010,425039,388971
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872
35,PUNJAB,Gurdaspur,2298323,1212617,1085706
36,PUNJAB,Kapurthala,815168,426311,388857
37,PUNJAB,Jalandhar,2193590,1145211,1048379
38,PUNJAB,Hoshiarpur,1586625,809057,777568
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368
41,PUNJAB,Ludhiana,3498739,1867816,1630923
42,PUNJAB,Moga,995746,525920,469826
43,PUNJAB,Firozpur,2029074,1071637,957437
44,PUNJAB,Muktsar,901896,475622,426274
45,PUNJAB,Faridkot,617508,326671,290837
46,PUNJAB,Bathinda,1388525,743197,645328
47,PUNJAB,Mansa,769751,408732,361019
48,PUNJAB,Patiala,1895686,1002522,893164
49,PUNJAB,Amritsar,2490656,1318408,1172248
50,PUNJAB,Tarn Taran,1119627,589369,530258
51,PUNJAB,Rupnagar,684627,357485,327142
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375
53,PUNJAB,Sangrur,1655169,878029,777140
54,PUNJAB,Barnala,595527,317522,278005
55,CHANDIGARH,Chandigarh,1055450,580663,474787
56,UTTARAKHAND,Uttarkashi,330086,168597,161489
57,UTTARAKHAND,Chamoli,391605,193991,197614
58,UTTARAKHAND,Rudraprayag,242285,114589,127696
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945
60,UTTARAKHAND,Dehradun,1696694,892199,804495
61,UTTARAKHAND,Garhwal,687271,326829,360442
62,UTTARAKHAND,Pithoragarh,483439,239306,244133
63,UTTARAKHAND,Bageshwar,259898,124326,135572
64,UTTARAKHAND,Almora,622506,291081,331425
65,UTTARAKHAND,Champawat,259648,131125,128523
66,UTTARAKHAND,Nainital,954605,493666,460939
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119
68,UTTARAKHAND,Hardwar,1890422,1005295,885127
69,HARYANA,Panchkula,561293,299679,261614
70,HARYANA,Ambala,1128350,598703,529647
71,HARYANA,Yamunanagar,1214205,646718,567487
72,HARYANA,Kurukshetra,964655,510976,453679
73,HARYANA,Kaithal,1074304,571003,503301
74,HARYANA,Karnal,1505324,797712,707612
75,HARYANA,Panipat,1205437,646857,558580
76,HARYANA,Sonipat,1450001,781299,668702
77,HARYANA,Jind,1334152,713006,621146
78,HARYANA,Fatehabad,942011,495360,446651
79,HARYANA,Sirsa,1295189,682582,612607
80,HARYANA,Hisar,1743931,931562,812369
81,HARYANA,Bhiwani,1634445,866672,767773
82,HARYANA,Rohtak,1061204,568479,492725
83,HARYANA,Jhajjar,958405,514667,443738
84,HARYANA,Mahendragarh,922088,486665,435423
85,HARYANA,Rewari,900332,474335,425997
86,HARYANA,Gurgaon,1514432,816690,697742
87,HARYANA,Mewat,1089263,571162,518101
88,HARYANA,Faridabad,1809733,966110,843623
89,HARYANA,Palwal,1042708,554497,488211
90,NCT OF DELHI,North West,3656539,1960922,1695617
91,NCT OF DELHI,North,887978,475002,412976
92,NCT OF DELHI,North East,2241624,1188425,1053199
93,NCT OF DELHI,East,1709346,907500,801846
94,NCT OF DELHI,New Delhi,142004,77942,64062
95,NCT OF DELHI,Central,582320,307821,274499
96,NCT OF DELHI,West,2543243,1356240,1187003
97,NCT OF DELHI,South West,2292958,1246046,1046912
98,NCT OF DELHI,South,2731929,1467428,1264501
99,RAJASTHAN,Ganganagar,1969168,1043340,925828
100,RAJASTHAN,Hanumangarh,1774692,931184,843508
101,RAJASTHAN,Bikaner,2363937,1240801,1123136
102,RAJASTHAN,Churu,2039547,1051446,988101
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149
104,RAJASTHAN,Alwar,3674179,1939026,1735153
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736
106,RAJASTHAN,Dhaulpur,1206516,653647,552869
107,RAJASTHAN,Karauli,1458248,783639,674609
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520
109,RAJASTHAN,Dausa,1634409,857787,776622
110,RAJASTHAN,Jaipur,6626178,3468507,3157671
111,RAJASTHAN,Sikar,2677333,1374990,1302343
112,RAJASTHAN,Nagaur,3307743,1696325,1611418
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237
114,RAJASTHAN,Jaisalmer,669919,361708,308211
115,RAJASTHAN,Barmer,2603751,1369022,1234729
116,RAJASTHAN,Jalor,1828730,936634,892096
117,RAJASTHAN,Sirohi,1036346,534231,502115
118,RAJASTHAN,Pali,2037573,1025422,1012151
119,RAJASTHAN,Ajmer,2583052,1324085,1258967
120,RAJASTHAN,Tonk,1421326,728136,693190
121,RAJASTHAN,Bundi,1110906,577160,533746
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787
123,RAJASTHAN,Rajsamand,1156597,581339,575258
124,RAJASTHAN,Dungarpur,1388552,696532,692020
125,RAJASTHAN,Banswara,1797485,907754,889731
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167
127,RAJASTHAN,Kota,1951014,1021161,929853
128,RAJASTHAN,Baran,1222755,633945,588810
129,RAJASTHAN,Jhalawar,1411129,725143,685986
130,RAJASTHAN,Udaipur,3068420,1566801,1501619
131,RAJASTHAN,Pratapgarh,867848,437744,430104
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946
139,UTTAR PRADESH,Baghpat,1303048,700070,602978
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059
146,UTTAR PRADESH,Agra,4418797,2364953,2053844
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964
160,UTTAR PRADESH,Kannauj,1656616,881776,774840
161,UTTAR PRADESH,Etawah,1581810,845856,735954
162,UTTAR PRADESH,Auraiya,1379545,740040,639505
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462
165,UTTAR PRADESH,Jalaun,1689974,906092,783882
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748
169,UTTAR PRADESH,Mahoba,875958,466358,409600
170,UTTAR PRADESH,Banda,1799410,965876,833534
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202
185,UTTAR PRADESH,Basti,2464464,1255272,1209192
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909
192,UTTAR PRADESH,Mau,2205968,1114709,1091259
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215
201,UTTAR PRADESH,Etah,1774480,947339,827141
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932
204,BIHAR,Purba Champaran,5099371,2681209,2418162
205,BIHAR,Sheohar,656246,346673,309573
206,BIHAR,Sitamarhi,3423574,1803252,1620322
207,BIHAR,Madhubani,4487379,2329313,2158066
208,BIHAR,Supaul,2229076,1155283,1073793
209,BIHAR,Araria,2811569,1463333,1348236
210,BIHAR,Kishanganj,1690400,866970,823430
211,BIHAR,Purnia,3264619,1699370,1565249
212,BIHAR,Katihar,3071029,1600430,1470599
213,BIHAR,Madhepura,2001762,1047559,954203
214,BIHAR,Saharsa,1900661,997174,903487
215,BIHAR,Darbhanga,3937385,2059949,1877436
216,BIHAR,Muzaffarpur,4801062,2527497,2273565
217,BIHAR,Gopalganj,2562012,1267666,1294346
218,BIHAR,Siwan,3330464,1675090,1655374
219,BIHAR,Saran,3951862,2022821,1929041
220,BIHAR,Vaishali,3495021,1844535,1650486
221,BIHAR,Samastipur,4261566,2230003,2031563
222,BIHAR,Begusarai,2970541,1567660,1402881
223,BIHAR,Khagaria,1666886,883786,783100
224,BIHAR,Bhagalpur,3037766,1615663,1422103
225,BIHAR,Banka,2034763,1067140,967623
226,BIHAR,Munger,1367765,729041,638724
227,BIHAR,Lakhisarai,1000912,526345,474567
228,BIHAR,Sheikhpura,636342,329743,306599
229,BIHAR,Nalanda,2877653,1497060,1380593
230,BIHAR,Patna,5838465,3078512,2759953
231,BIHAR,Bhojpur,2728407,1430380,1298027
232,BIHAR,Buxar,1706352,887977,818375
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378
234,BIHAR,Rohtas,2959918,1543546,1416372
235,BIHAR,Aurangabad,2540073,1318684,1221389
236,BIHAR,Gaya,4391418,2266566,2124852
237,BIHAR,Nawada,2219146,1144668,1074478
238,BIHAR,Jamui,1760405,916064,844341
239,BIHAR,Jehanabad,1125313,585582,539731
240,BIHAR,Arwal,700843,363497,337346
241,SIKKIM,North  District,43709,24730,18979
242,SIKKIM,West District,136435,70238,66197
243,SIKKIM,South District,146850,76670,70180
244,SIKKIM,East District,283583,151432,132151
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660
261,NAGALAND,Mon,250260,131753,118507
262,NAGALAND,Mokokchung,194622,101092,93530
263,NAGALAND,Zunheboto,140757,71217,69540
264,NAGALAND,Wokha,166343,84505,81838
265,NAGALAND,Dimapur,378811,197394,181417
266,NAGALAND,Phek,163418,83743,79675
267,NAGALAND,Tuensang,196596,101933,94663
268,NAGALAND,Longleng,50484,26502,23982
269,NAGALAND,Kiphire,74004,37830,36174
270,NAGALAND,Kohima,267988,138966,129022
271,NAGALAND,Peren,95219,49714,45505
272,MANIPUR,Senapati,479148,247323,231825
273,MANIPUR,Tamenglong,140651,72371,68280
274,MANIPUR,Churachandpur,274143,138820,135323
275,MANIPUR,Bishnupur,237399,118782,118617
276,MANIPUR,Thoubal,422168,210845,211323
277,MANIPUR,Imphal West,517992,255054,262938
278,MANIPUR,Imphal East,456113,226094,230019
279,MANIPUR,Ukhrul,183998,94718,89280
280,MANIPUR,Chandel,144182,74579,69603
281,MIZORAM,Mamit,86364,44828,41536
282,MIZORAM,Kolasib,83955,42918,41037
283,MIZORAM,Aizawl,400309,199270,201039
284,MIZORAM,Champhai,125745,63388,62357
285,MIZORAM,Serchhip,64937,32851,32086
286,MIZORAM,Lunglei,161428,82891,78537
287,MIZORAM,Lawngtlai,117894,60599,57295
288,MIZORAM,Saiha,56574,28594,27980
289,TRIPURA,West Tripura,1725739,879428,846311
290,TRIPURA,South Tripura,876001,447544,428457
291,TRIPURA,Dhalai,378230,194544,183686
292,TRIPURA,North Tripura,693947,352860,341087
293,MEGHALAYA,West Garo Hills,643291,324159,319132
294,MEGHALAYA,East Garo Hills,317917,161223,156694
295,MEGHALAYA,South Garo Hills,142334,73170,69164
296,MEGHALAYA,West Khasi Hills,383461,193715,189746
297,MEGHALAYA,Ribhoi,258840,132531,126309
298,MEGHALAYA,East Khasi Hills,825922,410749,415173
299,MEGHALAYA,Jaintia Hills,395124,196285,198839
300,ASSAM,Kokrajhar,887142,452905,434237
301,ASSAM,Dhubri,1949258,997848,951410
302,ASSAM,Goalpara,1008183,513292,494891
303,ASSAM,Barpeta,1693622,867004,826618
304,ASSAM,Morigaon,957423,486651,470772
305,ASSAM,Nagaon,2823768,1439112,1384656
306,ASSAM,Sonitpur,1924110,983904,940206
307,ASSAM,Lakhimpur,1042137,529674,512463
308,ASSAM,Dhemaji,686133,351249,334884
309,ASSAM,Tinsukia,1327929,680231,647698
310,ASSAM,Dibrugarh,1326335,676434,649901
311,ASSAM,Sivasagar,1151050,589216,561834
312,ASSAM,Jorhat,1092256,556805,535451
313,ASSAM,Golaghat,1066888,543161,523727
314,ASSAM,Karbi Anglong,956313,490167,466146
315,ASSAM,Dima Hasao,214102,110802,103300
316,ASSAM,Cachar,1736617,886284,850333
317,ASSAM,Karimganj,1228686,625864,602822
318,ASSAM,Hailakandi,659296,337890,321406
319,ASSAM,Bongaigaon,738804,375818,362986
320,ASSAM,Chirang,482162,244860,237302
321,ASSAM,Kamrup,1517542,778461,739081
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353
323,ASSAM,Nalbari,771639,396006,375633
324,ASSAM,Baksa,950075,481330,468745
325,ASSAM,Darrang,928500,475273,453227
